Depthm,T_degC,Salnty,O2ml_L,STheta,ChlorA,PO4uM,SiO3uM,NO3uM
1103,3.82,34.49,0.69,27.407,,,,
155,7.87,34.057,1.97,26.555,0.16,2.42,42.1,31.1
235,8.25,34.177,1.7,26.594,,,,
2000,2.21,34.639,1.72,27.677,,,,
91,14.45,33.34,6.04,24.814,,,,
150,9.77,,4.92,,,,,
1000,3.73,34.46,,27.392,,,,
16,13.94,33.191,5.98,24.803,0.4,0.41,2.2,0.6
600,5.7,34.35,,27.083,,,,
123,10.56,33.42,4.87,25.626,,,,
30,14.92,33.413,5.85,24.768,0.43,0.34,2.9,0.0
600,6.39,34.511,0.14,27.123,,,,
250,8.69,34.079,2.26,26.45,,2.21,37.9,28.6
400,8.33,34.543,0.25,26.872,,,,
283,8.46,34.159,1.89,26.549,,2.37,42.7,30.0
125,8.93,33.978,2.67,26.331,,,,
520,5.55,34.227,0.41,27.003,,3.16,84.7,41.7
170,8.93,33.785,3.8,26.181,0.0,1.71,25.4,23.2
105,10.46,33.261,4.65,25.519,0.14,1.28,13.2,14.8
1000,4.15,34.49,,27.373,,,,
31,13.77,33.443,4.95,25.033,0.81,0.91,6.7,5.6
30,10.39,33.587,5.46,25.783,,,,
250,7.7,33.82,,26.395,,,,
88,10.47,33.697,3.47,25.856,0.06,1.6,21.0,19.1
9,12.15,32.79,6.19,24.846,,,,
75,11.58,33.562,4.5,25.553,0.15,1.16,11.4,12.7
393,7.63,34.29,0.73,26.776,,,,
700,5.16,,0.39,,,3.11,,
66,12.21,33.12,6.28,25.092,,,,
50,11.5,33.55,,25.558,,,,
0,13.92,33.511,6.05,25.054,,0.45,,
378,6.95,34.02,3.13,26.659,,,,
500,5.44,34.141,0.62,26.948,,,,
75,13.19,33.413,5.08,25.129,0.22,0.67,2.7,5.2
171,9.82,34.07,2.26,26.26,,,,
123,11.7,34.52,,26.276,,,,
50,,33.9,5.78,,,0.49,0.0,0.0
75,10.95,33.583,3.91,25.683,,,,
90,13.85,33.96,3.12,25.418,,,,
30,16.64,33.694,5.49,24.598,,,,
10,13.77,33.525,6.1,25.096,0.54,0.41,2.3,0.0
98,13.61,33.49,5.68,25.104,,,,
30,13.8,33.38,,24.978,,,,
1,19.74,33.576,5.62,23.745,0.21,0.26,3.2,0.0
30,14.93,33.49,5.88,24.825,,,,
125,9.23,33.484,3.96,25.897,0.01,1.67,20.5,22.2
1200,3.83,34.572,0.48,27.473,,,,
1,15.04,33.722,7.01,24.979,3.57,0.22,1.1,0.1
118,10.45,33.688,3.84,25.854,0.04,1.48,17.8,17.9
0,19.39,33.744,5.62,23.963,0.32,0.26,2.4,0.1
100,10.53,33.619,4.04,25.786,0.04,1.41,16.7,16.9
140,9.85,33.923,2.89,26.139,0.0,1.86,26.4,23.4
125,10.9,33.64,,25.737,,,,
600,5.72,34.253,0.38,27.004,,3.4,,
24,13.78,33.77,4.88,25.284,,0.68,,
55,15.41,33.312,5.99,24.584,0.36,0.28,1.6,0.0
488,6.66,,0.46,,,3.19,,
900,3.94,34.367,0.46,27.296,,3.24,,
417,7.82,34.45,,26.875,,,,
30,14.52,33.62,5.58,25.013,,,,
231,8.12,34.031,2.68,26.499,,2.15,38.0,28.3
50,12.07,33.65,4.76,25.529,3.86,0.98,11.9,10.1
300,10.08,34.462,0.63,26.525,,,,
1800,2.26,34.588,1.51,27.631,,,,
0,14.67,33.376,5.99,24.792,0.59,0.38,2.4,0.8
10,14.35,33.411,6.16,24.887,,0.34,2.0,0.0
495,6.58,34.34,0.45,26.962,,3.1,,
50,11.34,33.56,,25.595,,,,
21,13.81,33.303,6.14,24.916,0.29,0.4,2.4,0.2
11,19.11,33.47,5.51,23.826,,,,
55,14.21,33.21,5.89,24.763,,,,
64,10.08,33.57,,25.823,,,,
0,13.81,33.51,4.56,25.076,,,,
10,14.18,33.28,5.88,24.822,,,,
32,14.62,33.676,4.71,25.035,,,,
150,10.8,33.672,3.67,25.781,0.02,,,
325,8.88,34.43,0.49,26.697,,2.56,48.0,30.8
10,12.05,32.918,6.32,24.964,0.88,0.5,4.5,2.2
30,,,6.04,,,,,
323,7.78,34.25,0.92,26.722,,,,
117,9.49,33.761,3.3,26.072,0.01,1.72,24.0,24.2
1000,3.95,34.48,0.49,27.385,,3.32,121.2,44.3
62,11.45,33.563,4.15,25.577,0.18,1.32,13.1,15.5
30,12.13,33.434,5.26,25.35,,0.79,,
50,13.49,33.095,6.09,24.82,,,,
11,17.09,33.66,5.79,24.466,0.8,0.26,2.8,0.1
20,22.5,34.905,5.33,24.007,,,,
900,4.35,34.453,0.55,27.322,,,,
268,7.94,34.098,2.05,26.579,,,,
50,15.833,33.0675,5.773,24.30339,0.14,0.36,1.99,0.0
9,13.48,33.67,,25.267,,,,
85,11.13,33.607,4.07,25.67,0.14,1.33,15.1,16.1
31,16.14,34.07,5.03,25.002,,,,
250,7.23,33.946,2.03,26.56,,,,
69,12.88,33.547,4.62,25.294,,,,
20,15.04,32.791,6.19,24.262,0.3,0.41,2.5,0.1
300,7.28,33.961,2.77,26.566,,2.31,,
31,15.53,33.224,5.78,24.489,0.17,0.34,1.6,0.0
134,9.4,33.723,3.88,26.057,,,,
10,17.67,33.384,,24.115,,,,
25,15.32,32.37,6.06,23.877,,0.5,,
600,5.95,34.418,0.24,27.106,,,,
700,4.16,34.176,0.64,27.12,,3.63,,
1600,2.5,34.582,1.21,27.605,,,,
11,14.965,33.2461,,24.6291,,,,
22,12.09,32.753,6.49,24.828,0.79,0.45,1.2,0.5
64,12.21,33.51,4.68,25.394,,,,
500,5.75,34.223,0.48,26.975,,3.12,79.8,40.8
0,15.99,33.583,5.77,24.661,,0.38,2.0,
200,9.347,33.5863,4.152,25.96323,,1.52,19.94,19.5
400,7.11,34.237,0.86,26.808,,,,
244,8.24,34.2,1.62,26.614,,,,
125,7.83,33.9,2.91,26.437,0.11,2.13,41.3,29.2
152,8.62,34.13,1.57,26.499,,,,
150,10.48,33.364,5.04,25.596,0.06,1.0,10.6,11.3
200,8.33,33.968,3.3,26.417,0.0,2.0,33.5,26.3
700,4.0,34.122,1.26,27.093,,2.87,98.6,42.4
75,16.52,32.947,5.83,24.054,0.25,0.35,1.5,0.0
178,8.56,34.018,2.38,26.421,0.0,2.08,35.9,28.4
20,17.69,33.48,5.02,24.185,,,,
500,7.13,,0.31,,,2.98,,
10,11.97,33.564,5.84,25.48,0.73,0.84,9.5,7.5
93,13.52,33.253,6.08,24.939,,,,
1024,4.02,,,,,,,
359,6.37,34.15,0.99,26.838,,2.86,67.8,37.9
170,8.82,33.917,2.81,26.302,0.0,2.0,31.0,26.5
48,13.1,33.423,5.28,25.153,0.49,0.95,6.4,5.2
70,13.15,33.282,5.11,25.035,0.4,0.71,5.9,5.2
250,12.26,34.884,0.88,26.456,,,,
500,5.67,34.19,0.58,26.959,,3.21,82.0,40.7
100,11.5,33.619,,25.612,,,,
140,10.42,33.141,5.26,25.433,0.03,1.09,10.6,11.6
900,3.7,34.437,0.48,27.375,,,,
87,15.21,33.41,5.7,24.704,0.3,0.34,2.3,0.1
300,7.91,34.321,1.0,26.759,,,,
330,7.19,34.31,0.72,26.854,,,,
200,8.616,33.9977,2.382,26.40024,0.003,2.13,35.09,28.01
117,12.91,34.66,0.42,26.151,,,,
100,9.64,33.746,,26.035,,,,
64,8.56,33.51,,26.021,,,,
500,6.51,34.186,0.72,26.85,,,,
0,,33.44,5.67,,,,,
600,5.92,34.399,,27.095,,,,
100,10.41,33.683,3.97,25.856,,,,
3400,1.52,34.675,3.18,27.767,,2.73,156.1,
31,13.57,33.198,6.03,24.885,1.2,0.55,2.7,1.8
250,7.81,34.111,1.72,26.608,,,,
200,8.37,33.888,1.85,26.349,,2.0,,
0,21.94,34.12,,23.568,,,,
25,10.64,33.62,4.98,25.766,,,,
500,6.86,34.277,0.49,26.875,,2.96,67.1,37.0
10,19.13,33.58,5.86,23.905,,,,
300,7.86,34.11,,26.6,,,,
700,5.05,34.33,,27.145,,,,
175,8.83,34.05,,26.404,,,,
125,9.66,33.831,3.08,26.099,0.02,1.86,25.1,24.5
250,8.3,34.106,1.99,26.531,,2.23,41.6,29.6
25,18.727,33.5721,5.392,24.00218,0.086,0.27,2.15,0.0
50,15.43,33.396,5.4,24.644,,,,
396,5.6,33.98,1.54,26.8,,3.0,,
547,5.47,34.33,0.36,27.094,,,,
800,5.37,34.521,0.19,27.26,,3.44,96.6,42.6
20,18.24,33.597,5.54,24.141,,,,
68,10.21,33.803,3.08,25.983,0.23,1.64,22.0,21.2
20,15.06,32.736,6.04,24.215,,0.29,2.0,0.1
65,11.64,33.471,4.11,25.471,0.18,1.3,12.3,13.7
0,17.919,33.5579,5.648,24.1888,0.174,0.3,2.49,0.0
30,15.54,33.6,,24.776,,,,
604,4.89,34.2,,27.059,,,,
834,4.0,34.34,0.42,27.268,,3.27,,
92,10.33,33.585,4.45,25.793,,,,
24,12.89,33.75,4.33,25.448,,,,
67,17.27,33.737,5.61,24.485,0.14,0.26,2.6,0.1
200,8.34,33.992,2.83,26.435,,1.97,36.2,28.1
30,12.22,33.47,,25.361,,,,
10,16.98,33.563,5.58,24.418,,0.5,0.0,
38,19.03,33.84,5.26,24.13,,,,
20,19.11,33.382,,23.757,,,,
200,9.39,33.92,3.51,26.214,,1.68,26.0,24.7
200,8.69,33.871,3.31,26.286,,,,
400,6.4,34.107,1.11,26.801,,2.86,62.1,37.6
85,11.97,33.004,5.79,25.047,0.16,0.69,4.9,4.1
0,15.39,33.33,5.84,24.6,,,,
97,14.78,34.81,1.49,25.877,,,,
192,10.17,,1.95,,,,,
23,,33.89,5.48,,,,,
49,11.71,33.22,4.93,25.263,0.72,0.99,8.2,10.2
16,14.12,33.579,5.76,25.065,0.77,0.42,2.4,0.7
28,13.45,33.58,6.38,25.204,,,,
105,12.74,33.57,5.22,25.34,0.15,0.7,5.1,5.0
87,11.88,33.56,4.06,25.496,,,,
3,19.17,33.233,5.42,23.629,0.08,0.29,2.5,0.0
47,18.96,,4.96,,,0.34,,
50,13.78,33.479,6.08,25.059,2.61,0.5,0.0,0.7
30,,,,,,,,
100,11.93,33.567,4.69,25.492,,,,
85,10.33,33.64,3.39,25.836,0.04,1.61,19.4,20.0
30,14.79,32.937,5.98,24.429,0.11,0.44,3.3,0.2
500,5.29,34.188,0.54,27.003,,3.1,88.6,42.0
83,12.44,33.077,5.87,25.015,0.12,0.51,5.0,2.2
58,11.01,33.479,3.9,25.591,0.28,1.39,16.1,15.7
30,18.3,33.247,5.8,23.859,,,,
125,9.89,33.983,2.26,26.179,0.03,2.09,29.8,25.6
1800,2.41,34.605,1.73,27.632,,,,
50,12.7,32.749,,24.708,,,,
10,15.6,33.37,,24.585,,,,
0,15.04,,,,,,,
400,6.84,,0.58,,,2.98,,
503,5.94,34.28,,26.997,,,,
87,10.72,33.7,3.26,25.815,,,,
600,6.21,34.36,,27.027,,,,
600,5.67,34.435,,27.154,,,,
353,8.66,34.428,0.39,26.73,,2.7,36.0,
55,12.86,33.259,5.5,25.074,0.51,0.71,5.0,5.3
41,10.58,33.644,4.75,25.795,0.76,1.43,16.5,15.5
125,9.42,33.828,3.23,26.136,0.01,1.81,25.5,23.4
20,15.71,33.472,6.03,24.639,0.67,0.32,2.6,0.0
409,6.48,34.062,1.73,26.755,,2.61,58.9,35.1
300,7.65,34.16,1.25,26.67,,,,
40,17.14,33.792,5.29,24.557,,,,
75,10.51,33.428,4.94,25.64,,,,
377,6.73,34.11,1.39,26.759,,2.76,58.6,36.0
19,15.94,33.512,5.87,24.618,0.19,0.37,4.0,0.0
800,4.47,34.383,0.52,27.252,,3.31,,
75,15.38,33.628,,24.834,,,,
80,10.2,33.1,5.06,25.437,,,,
772,4.74,34.43,,27.26,,,,
52,10.5,33.779,3.25,25.914,,,,
75,12.75,33.515,4.55,25.294,,,,
29,16.08,32.994,5.78,24.189,0.27,0.31,1.3,0.1
60,8.45,33.773,,26.244,,,,
0,19.46,33.61,5.47,23.843,,,,
75,11.63,33.545,3.93,25.53,,,,
20,24.63,35.291,4.59,23.676,,,,
0,15.35,33.19,5.69,24.501,,,,
500,6.71,34.335,0.47,26.941,,,,
29,13.95,33.531,6.16,25.064,0.43,0.57,2.0,3.7
44,11.11,33.13,5.51,25.301,,0.77,,
268,8.27,34.166,1.52,26.583,,2.5,44.9,31.7
400,6.09,34.195,0.77,26.91,,,,
125,9.7,33.843,3.19,26.101,0.02,1.74,26.2,22.9
125,9.87,33.789,3.23,26.031,0.0,1.75,23.7,22.9
100,9.173,33.7881,2.9,26.14544,0.009,1.98,27.84,25.6
400,6.62,34.225,0.7,26.865,,2.97,66.4,37.5
85,9.246,33.843,2.79,26.17619,0.039,1.97,28.14,25.6
29,17.46,33.56,5.5,24.302,,,,
33,12.26,33.431,4.56,25.323,1.31,1.13,9.9,12.0
100,9.79,33.6,,25.896,,,,
91,10.76,33.25,,25.458,,,,
66,15.45,33.234,5.81,24.515,0.17,0.38,3.0,0.2
125,10.77,33.98,1.11,26.025,,2.33,,
297,8.34,34.259,0.97,26.646,,,,
25,26.99,34.78,4.36,22.559,,0.55,,
265,8.92,34.293,1.3,26.582,,,,
32,13.94,33.394,6.6,24.96,,0.4,3.6,0.4
200,8.83,34.184,1.85,26.51,,,,
200,8.21,33.974,2.06,26.44,,2.17,,
317,8.09,34.273,0.94,26.695,,2.78,50.9,33.2
20,17.4,33.49,,24.263,,,,
3504,1.61,34.673,2.93,27.76,,,,
102,12.29,33.42,5.67,25.31,,,,
300,7.36,34.153,1.46,26.706,,2.55,53.3,34.1
250,7.86,33.96,,26.482,,,,
250,7.29,33.99,2.76,26.587,,2.23,43.1,30.2
1,16.44,32.971,5.84,24.088,0.07,0.42,3.5,0.2
225,8.61,34.17,,26.533,,,,
500,5.38,34.17,,26.978,,,,
328,7.29,34.21,1.02,26.761,,,,
20,16.63,33.967,5.4,24.81,,,,
231,8.22,34.129,1.88,26.561,,2.4,42.4,30.8
800,4.85,,0.3,,,3.13,,
0,15.66,33.56,5.57,24.717,,,,
9,16.43,33.524,5.96,24.516,2.15,0.37,0.8,0.4
154,9.27,34.08,2.43,26.358,,,,
20,18.18,33.39,,23.997,,,,
150,8.56,34.052,,26.447,,,,
51,18.02,34.299,5.66,24.734,,0.35,1.0,
0,18.38,33.648,5.45,24.144,,,,
51,11.22,33.463,3.79,25.541,0.22,1.52,16.7,14.8
321,10.42,,0.11,,,,,
79,11.84,34.27,,26.055,,,,
100,10.92,33.6,,25.702,,,,
24,13.94,33.37,5.81,24.941,,0.48,,
101,9.64,,5.85,,,0.69,11.0,8.7
11,18.56,33.324,5.24,23.852,,,,
574,7.17,34.57,0.16,27.064,,,,
125,9.54,33.694,,26.011,,,,
333,8.18,34.27,1.03,26.679,,,,
600,5.28,,0.4,,,3.23,,
150,9.93,34.08,,26.249,,,,
21,16.45,33.358,5.94,24.384,0.44,,,
257,11.04,34.72,0.13,26.557,,,,
300,6.69,34.049,1.26,26.715,,2.64,,
130,9.55,33.754,3.5,26.057,0.01,1.69,24.4,22.1
139,8.58,33.586,3.82,26.079,0.01,1.84,26.9,23.9
0,17.1,35.38,,25.783,,,,
437,7.18,34.38,,26.911,,,,
400,6.85,,0.66,,,3.06,,
66,11.0,33.44,4.48,25.563,,,,
85,10.22,33.727,3.47,25.923,0.04,1.54,20.7,20.6
251,10.24,34.504,0.49,26.529,,,,
400,6.38,34.15,,26.837,,,,
150,11.15,34.04,2.51,26.005,,,,
82,17.09,33.437,5.69,24.298,0.25,,,
21,18.63,33.223,5.52,23.758,0.14,0.32,1.4,0.0
150,11.02,34.337,1.49,26.259,,,,
20,15.1,,3.62,,,0.52,,
145,9.17,33.993,2.65,26.305,0.01,1.97,31.9,26.4
41,15.71,33.11,5.92,24.361,0.45,0.37,3.4,0.0
125,12.08,33.531,4.94,25.437,0.07,0.85,8.7,8.0
125,9.02,33.969,2.47,26.303,0.0,2.08,30.6,27.2
200,10.85,34.12,,26.122,,,,
1600,2.47,34.516,1.34,27.555,,2.98,,
10,14.22,33.29,,24.821,,,,
350,6.81,34.21,,26.827,,,,
95,11.76,33.35,6.37,25.355,,,,
84,10.24,33.698,3.42,25.897,0.1,1.61,20.5,20.2
256,7.39,34.033,2.38,26.606,,2.11,48.0,30.7
737,4.3,34.29,0.29,27.196,,,,
250,7.4,34.163,1.3,26.707,,,,
40,12.49,33.144,5.84,25.056,0.89,0.69,4.6,4.1
250,8.73,34.092,2.31,26.454,,2.22,37.2,28.1
119,11.42,34.11,1.89,26.009,,,,
400,6.95,34.214,0.89,26.812,,,,
10,12.47,33.578,5.75,25.396,15.02,0.79,6.3,7.3
340,7.86,34.265,1.06,26.723,,,,
440,6.115,34.1675,0.633,26.89022,,2.96,72.72,38.56
125,10.83,33.807,2.98,25.88,,1.68,,
45,15.8,33.189,5.96,24.402,0.15,0.32,2.9,0.0
194,9.03,33.726,3.83,26.12,0.04,1.64,22.6,21.3
150,8.68,33.956,3.18,26.354,,,,
10,15.8,33.018,,24.27,,,,
170,8.82,34.079,1.95,26.428,0.01,2.18,36.5,29.1
399,6.43,34.157,1.01,26.836,,,,
250,7.71,34.203,,26.694,,,,
155,12.74,34.79,0.37,26.287,,,,
80,10.4,33.4,4.32,25.637,,,,
250,8.5,34.322,,26.67,,,,
206,8.68,34.031,2.79,26.413,,,,
0,16.16,33.65,,24.674,,,,
200,7.94,33.985,,26.489,,,,
150,9.51,33.556,4.55,25.909,,,,
1,15.02,33.43,6.05,24.758,,0.39,3.0,0.4
20,15.62,33.083,5.89,24.36,0.35,0.4,1.6,0.4
98,10.36,33.802,3.1,25.958,0.24,1.73,23.4,21.4
440,6.25,34.181,0.64,26.879,,2.99,71.3,40.0
25,20.07,33.58,,23.663,,,,
37,13.92,33.09,5.82,24.73,,,,
41,14.9,33.487,5.76,24.829,0.59,0.38,3.1,0.1
74,8.58,33.863,2.59,26.295,0.06,2.24,38.6,27.7
16,15.11,33.112,5.97,24.494,0.2,0.4,2.2,0.0
20,12.04,33.54,,25.449,,,,
519,5.43,34.16,0.6,26.964,,3.09,83.1,42.0
128,11.28,33.89,2.59,25.864,,,,
200,8.9,33.929,2.97,26.299,0.0,1.97,29.2,26.2
3,15.49,33.722,6.08,24.88,1.15,0.48,6.3,2.5
8,19.45,33.61,5.63,23.846,,,,
10,15.603,33.3598,5.836,24.57674,0.729,0.33,1.13,0.59
600,6.05,34.44,0.24,27.111,,,,
100,9.822,33.731,3.204,25.9951,0.027,1.88,23.71,22.9
75,9.6,,1.9,,,2.18,,
204,10.16,34.28,1.45,26.367,,,,
499,6.29,34.24,0.5,26.921,,,,
20,16.33,33.541,6.03,24.552,,,,
250,8.31,34.171,1.43,26.58,,,,
126,10.66,33.44,4.61,25.624,,1.23,,
611,4.82,34.233,0.4,27.093,,,,
10,20.18,33.586,,23.636,,,,
250,8.54,34.109,2.19,26.497,,2.2,38.8,28.7
250,7.75,34.016,2.88,26.542,,2.01,40.4,28.3
218,8.16,34.135,1.84,26.574,,2.44,44.0,30.7
259,8.84,34.302,1.35,26.602,,,,
15,17.2,33.489,,,,,,
590,5.76,34.31,0.37,27.044,,,,
20,16.21,33.469,5.69,24.524,,0.39,1.8,
824,5.15,34.387,0.11,27.18,,3.41,106.4,36.6
10,16.4,33.454,5.92,,1.2,0.25,5.3,0.1
197,11.3,34.76,0.18,26.539,,,,
500,5.2,33.973,,26.843,,,,
1100,3.88,34.505,0.59,27.413,,,,
200,9.79,34.234,1.51,26.393,,2.43,34.9,27.0
183,8.54,34.026,2.62,26.431,,,,
45,12.68,33.32,,25.156,,,,
10,13.35,33.23,6.02,24.953,,0.75,,
50,12.25,33.33,,25.247,,,,
10,18.19,33.531,5.61,24.102,,,,
30,16.53,33.249,,24.281,,,,
451,7.77,34.442,0.36,26.877,,,,
139,9.47,34.139,1.88,26.371,0.01,2.24,33.4,27.8
512,5.53,34.162,0.64,26.954,,3.02,79.6,40.6
41,19.58,33.99,5.11,24.104,,,,
20,9.92,32.4,,24.936,,,,
150,9.43,33.601,3.88,25.957,0.02,1.5,19.3,19.5
125,11.99,33.739,,25.615,,,,
16,16.02,33.695,5.42,24.741,1.47,0.59,4.1,3.8
140,9.31,33.857,2.85,26.176,0.01,1.91,26.1,24.7
250,8.74,34.178,1.66,26.52,,2.42,41.6,30.1
400,7.93,34.35,,26.78,,,,
75,10.8,33.636,3.95,25.751,0.12,1.36,17.4,17.9
4,18.17,33.45,5.57,24.045,0.24,0.36,1.7,0.0
1,17.04,32.99,5.75,23.964,0.08,0.29,2.2,0.0
1100,3.66,34.542,0.75,27.465,,3.48,,
10,13.19,33.58,,25.256,,,,
1228,3.42,34.55,0.83,27.495,,2.84,,
267,8.01,34.02,2.79,26.507,,2.11,37.8,28.7
30,9.52,33.733,3.36,26.043,0.33,1.87,30.0,23.8
50,14.08,33.124,5.92,24.723,0.77,0.3,2.3,0.2
182,7.72,33.983,2.99,26.519,,2.07,36.4,28.1
97,11.83,33.281,5.61,25.289,0.24,0.71,5.6,5.2
41,12.67,33.513,5.1,25.307,1.07,0.91,10.2,9.0
93,15.74,34.05,3.77,25.08,,,,
10,16.52,33.483,5.79,24.463,0.15,0.3,1.6,0.0
170,9.184,33.5551,3.733,25.96379,0.01,1.65,22.46,21.28
105,11.66,33.87,1.61,25.778,,,,
64,17.42,34.198,5.44,24.802,,,,
270,7.657,33.9959,2.43,26.54328,,2.27,41.55,30.29
125,12.01,33.898,2.82,25.735,,,,
200,9.39,34.058,2.48,26.322,,,,
436,6.09,34.128,1.01,26.857,,2.89,69.7,38.4
20,13.34,33.179,6.18,24.916,2.54,0.39,2.4,0.3
300,6.75,34.02,1.47,26.685,,,,
131,9.48,33.46,4.74,25.838,,,,
200,8.71,33.948,3.06,26.344,,1.96,30.9,26.4
150,8.56,33.83,,26.273,,,,
60,28.4,36.365,3.86,23.297,,1.69,12.9,0.5
484,6.85,34.39,0.36,26.965,,,,
409,6.62,34.195,0.78,26.841,,,,
20,14.51,33.198,5.99,24.689,,,,
15,12.64,33.314,5.78,25.158,0.81,0.75,6.2,5.8
150,12.43,34.159,1.81,25.858,,,,
25,15.96,33.51,5.68,24.612,0.08,0.24,2.4,0.0
61,10.18,33.665,3.41,25.881,,,,
92,9.16,33.57,3.9,25.975,,,,
162,8.89,33.97,,26.331,,,,
464,6.68,34.272,0.54,26.895,,3.07,69.6,37.9
30,19.93,33.816,5.03,23.88,,,,
400,6.06,34.134,0.94,26.865,,,,
75,12.46,33.394,5.16,25.257,,,,
0,19.7,34.2,4.76,24.231,,,,
500,5.88,34.248,0.49,26.979,,3.09,79.8,40.5
123,10.31,33.164,5.42,25.469,0.14,0.87,8.5,9.5
125,8.74,,2.35,,,2.21,,
9,15.96,33.387,6.12,24.517,0.37,0.55,1.0,0.3
120,12.33,33.248,5.15,25.17,0.19,0.76,5.2,6.7
67,16.86,33.64,6.0,24.507,,,,
232,8.99,34.138,1.68,26.449,,2.34,36.8,29.4
500,6.4,34.345,0.4,26.99,,,,
534,6.0,34.243,0.5,26.961,,3.14,76.6,39.9
64,10.18,33.685,4.71,25.896,,,,
127,10.61,33.165,5.55,25.418,,0.33,10.0,6.2
31,16.11,33.52,5.44,24.586,,,,
500,5.74,34.232,0.44,26.984,,3.08,79.3,40.4
1,14.91,33.178,5.79,24.588,,,,
54,15.91,33.367,6.04,24.515,0.58,0.36,0.5,0.0
151,8.66,33.8647,3.095,26.2867,0.012,,,
400,5.99,34.15,1.09,26.887,,2.96,,
352,7.52,34.279,0.71,26.783,,2.88,59.0,35.3
139,10.25,33.153,4.84,25.471,0.05,1.15,10.7,13.2
2,15.99,32.815,6.02,24.071,0.35,0.42,3.9,0.3
32,16.06,33.55,5.64,24.621,,,,
300,8.17,34.34,,26.735,,,,
500,6.39,34.304,0.35,26.959,,3.13,74.3,38.9
179,9.58,34.08,2.51,26.307,,2.19,33.0,24.5
336,7.36,34.18,1.19,26.727,,,,
9,13.63,33.0,5.84,24.719,,,,
170,9.032,33.9659,2.447,26.30945,0.016,2.11,31.58,26.9
2,14.14,33.029,6.0,24.636,0.14,0.35,3.1,0.2
100,8.95,34.01,,26.353,,,,
30,17.45,33.485,5.65,24.247,,0.36,1.9,0.0
267,7.81,34.024,2.65,26.539,,2.16,40.2,29.6
11,13.08,33.458,5.94,25.183,1.32,0.59,6.8,3.8
300,8.27,34.216,,26.623,,,,
100,10.33,33.637,3.75,25.834,0.06,1.5,18.1,18.6
400,8.4,34.458,0.37,26.794,,2.96,53.2,29.3
500,6.51,,0.44,,,3.18,,
203,9.14,33.621,4.48,26.02,0.01,1.37,18.2,17.5
158,9.13,33.83,2.85,26.184,,,,
400,7.74,34.38,,26.831,,,,
236,8.87,33.976,2.84,26.341,,1.93,31.4,26.5
600,6.35,34.391,,27.034,,,,
70,11.311,33.0143,5.807,25.1775,0.15,0.59,5.42,3.2
223,9.19,34.184,2.04,26.453,,2.22,36.5,28.0
20,20.11,33.442,5.77,23.547,,,,
400,8.07,34.448,0.22,26.836,,,,
137,10.23,,3.78,,,1.63,24.0,23.9
150,9.69,33.597,4.25,25.911,0.02,1.44,17.7,17.6
20,22.44,34.705,5.14,23.872,,,,
471,5.85,34.103,0.94,26.868,,,,
10,16.76,31.22,5.82,22.672,,0.41,,
600,5.33,34.343,0.36,27.122,,,,
232,8.52,34.163,1.05,26.542,,,,
96,10.08,33.228,4.73,25.557,0.04,1.37,13.2,15.7
15,16.12,33.57,6.0,24.622,,,,
518,5.98,34.317,0.33,27.021,,3.06,81.5,40.2
150,12.5,,,,,,,
600,5.37,34.316,0.31,27.096,,2.95,92.0,35.3
150,9.8,34.126,1.82,26.306,,2.21,,
200,8.14,34.02,2.67,26.487,,2.15,37.6,28.9
60,24.26,34.72,4.85,23.358,,0.5,,
20,11.42,33.52,,25.548,,,,
400,7.41,34.39,,26.887,,,,
1,16.84,33.556,6.42,24.445,4.32,0.16,2.5,0.2
1,18.47,33.757,5.55,24.205,0.74,0.29,1.7,0.3
75,10.4,33.556,,25.758,,,,
250,8.077,33.9792,3.082,26.46851,,2.01,35.58,27.3
200,8.29,34.0,,26.448,,,,
75,14.09,33.024,6.1,24.645,0.35,0.35,3.0,0.0
75,12.67,32.994,5.73,24.906,0.2,0.63,3.6,3.5
20,12.26,33.31,6.18,25.229,1.23,0.66,5.7,4.5
400,6.09,34.005,2.17,26.76,,,,
1,16.67,33.486,5.69,24.431,0.11,0.41,2.0,0.1
148,10.67,33.896,2.82,25.978,0.01,1.79,24.3,21.9
81,9.44,33.53,,25.899,,,,
60,10.9,33.699,3.33,25.782,0.15,1.58,19.2,18.8
400,6.81,34.247,,26.857,,,,
208,9.35,34.263,1.61,26.489,,,,
30,15.26,33.24,,24.561,,,,
10,11.74,32.83,5.7,24.953,,,,
382,8.07,34.292,0.71,26.714,,2.76,53.4,33.1
428,5.74,34.2,0.79,26.958,,,,
378,6.33,34.076,1.4,26.785,,2.7,62.3,36.9
277,7.92,34.226,1.16,26.682,,,,
12,11.86,32.969,6.24,25.038,1.85,0.62,4.9,3.7
30,15.96,33.276,,24.433,,,,
30,12.25,33.602,5.93,25.457,1.6,0.87,6.4,8.2
506,5.38,34.16,0.66,26.97,,2.94,,
272,7.17,34.119,1.1,26.705,,2.72,54.4,33.8
32,16.92,33.422,5.83,24.324,0.07,0.29,2.3,0.0
50,14.16,33.28,,24.827,,,,
34,,,,,0.08,,,
1200,3.57,,0.77,,,3.16,,
500,6.07,34.34,,27.028,,,,
200,7.76,34.025,2.45,26.547,0.0,2.2,41.8,29.8
25,14.3,33.549,5.49,25.005,0.49,0.47,7.5,1.2
125,9.82,33.61,4.02,25.9,,,,
353,7.08,34.23,1.0,26.806,,,,
